stopid,stopname,stopsite,latitude,longitude,syscode,system,muni
100000,Uvic Exchange Bay D,Uvic_Exchange_Bay_D,48.4664476759638,-123.308842146907,VIC,Victoria Regional Transit System,Saanich
100002,Government at Belleville (SB),SB_Government_FS_Belleville,48.4197359959543,-123.368999000049,VIC,Victoria Regional Transit System,Victoria
100003,Legislature Terminus Bay D,Legislature_Terminus_Bay_D,48.4191409951258,-123.368942000504,VIC,Victoria Regional Transit System,Victoria
100004,Superior at Government (WB),WB_Superior_FS_Government,48.4183027840252,-123.369369318875,VIC,Victoria Regional Transit System,Victoria
100006,Legislature Terminus Bay E,Legislature_Terminus_Bay_E,48.4182659955526,-123.368052000543,VIC,Victoria Regional Transit System,Victoria
100008,Superior at Menzies (WB),WB_Superior_FS_Menzies,48.4182609956643,-123.372801000422,VIC,Victoria Regional Transit System,Victoria
100009,Patrica Bay at Haliburton (SB),SB_Patrica Bay_FS_Haliburton,48.5139499957935,-123.384454999615,VIC,Victoria Regional Transit System,Saanich
100011,Menzies at Superior (SB),SB_Menzies_FS_Superior,48.4178419956748,-123.372634999476,VIC,Victoria Regional Transit System,Victoria
100012,Douglas at Elliot Street (NB),NB_Douglas_NS_Elliot Street,48.4192229952796,-123.365871000661,VIC,Victoria Regional Transit System,Victoria
100181,Johnson at Camosun (EB),EB_Johnson_NS_Camosun,48.4254579951779,-123.347862000506,VIC,Victoria Regional Transit System,Victoria
100182,Tyee at Bay (WB),WB_Tyee_FS_Bay,48.4343054414127,-123.381360121163,VIC,Victoria Regional Transit System,Victoria
100183,Bay at Rock Bay (WB),WB_Bay_NS_Rock Bay,48.4359179959243,-123.368469000371,VIC,Victoria Regional Transit System,Victoria
100184,May at Moss (WB),WB_May_FS_Moss,48.4114929953667,-123.350113000004,VIC,Victoria Regional Transit System,Victoria
100185,Bay at Douglas (WB),WB_Bay_FS_Douglas,48.4357979953821,-123.365981000299,VIC,Victoria Regional Transit System,Victoria
100186,Tyee at Langford (EB),EB_Tyee_FS_Langford,48.4341289957941,-123.381340000034,VIC,Victoria Regional Transit System,Victoria
100188,Wilson at Mary (EB),EB_Wilson_FS_Mary,48.4328149952264,-123.385542000273,VIC,Victoria Regional Transit System,Victoria
100189,Wilson at Mary (WB),WB_Wilson_NS_Mary,48.4329439955156,-123.385783999776,VIC,Victoria Regional Transit System,Victoria
100190,May at Moss (EB),EB_May_FS_Moss,48.4112910305015,-123.349428021793,VIC,Victoria Regional Transit System,Victoria
100191,Yates at Fernwood (WB),WB_Yates_FS_Fernwood,48.424600995105,-123.346261000585,VIC,Victoria Regional Transit System,Victoria
100192,Dallas at Wellington (WB),WB_Dallas_FS_Wellington,48.4071679954554,-123.353667000631,VIC,Victoria Regional Transit System,Victoria
100193,Quadra at Empress (SB),SB_Quadra_NS_Empress,48.4350229956176,-123.35814600062,VIC,Victoria Regional Transit System,Victoria
100194,Fernwood at Yates (NB),NB_Fernwood_NS_Yates,48.4240759956764,-123.345464999581,VIC,Victoria Regional Transit System,Victoria
100195,Douglas at HIllside (SB),SB_Douglas_NS_Hillisde,48.4387174805624,-123.367206644822,VIC,Victoria Regional Transit System,Victoria
100196,Cook at Princess (SB),SB_Cook_FS_Princess,48.432402565327,-123.352732023829,VIC,Victoria Regional Transit System,Victoria
100197,Esquimalt at Maitland (EB),EB_Esquimalt_FS_Maitland,48.4306707168742,-123.389771710661,VIC,Victoria Regional Transit System,Victoria
100198,Douglas at Kings (NB),NB_Douglas_FS_Kings,48.4370669952819,-123.366092000039,VIC,Victoria Regional Transit System,Victoria
100199,Richardson at Kipling (EB),EB_Richardson_NS_Kipling,48.4166159954883,-123.344399999526,VIC,Victoria Regional Transit System,Victoria
100200,May at Olive (WB),WB_May_NS_Olive,48.4112519956531,-123.348036999745,VIC,Victoria Regional Transit System,Victoria
100201,May at Joseph (EB),EB_May_NS_Joseph,48.4111030206606,-123.347838999457,VIC,Victoria Regional Transit System,Victoria
100202,Richardson at Kipling (WB),WB_Richardson_FS_Kipling,48.4167449959089,-123.344355999678,VIC,Victoria Regional Transit System,Victoria
100203,Fernwood at Johnson (NB),NB_Fernwood_FS_Johnson,48.4257609951846,-123.345349000219,VIC,Victoria Regional Transit System,Victoria
100204,Esquimalt at Maitland (WB),WB_Esquimalt_NS_Maitland,48.4308115417973,-123.390249908892,VIC,Victoria Regional Transit System,Victoria
100205,Fairfield at Kipling (WB),WB_Fairfield_FS_Kipling,48.413998995504,-123.345639999946,VIC,Victoria Regional Transit System,Victoria
100206,Cook at Princess (NB),NB_Cook_FS_Princess,48.4330179953349,-123.352438999864,VIC,Victoria Regional Transit System,Victoria
100207,Fernwood at Rudlin (SB),SB_Fernwood_FS_Rudlin,48.4258489954823,-123.345521999862,VIC,Victoria Regional Transit System,Victoria
100208,Quadra at Bay (NB),NB_Quadra_FS_Bay,48.4355769955341,-123.357996,VIC,Victoria Regional Transit System,Victoria
100209,Pandora at Fernwood (WB),WB_Pandora_FS_Fernwood,48.4269189956705,-123.345861999597,VIC,Victoria Regional Transit System,Victoria
100210,Fairfield at Kipling (EB),EB_Fairfield_FS_Kipling,48.413673995196,-123.345515999445,VIC,Victoria Regional Transit System,Victoria
100211,Johnson at Fernwood (EB),EB_Johnson_FS_Fernwood,48.425394995228,-123.34497500049,VIC,Victoria Regional Transit System,Victoria
100212,Fort at Elford (EB),EB_Fort_NS_Elford,48.4249339958879,-123.341291999458,VIC,Victoria Regional Transit System,Victoria
100213,George at Moss (WB),WB_George_NS_Moss,48.4081749959335,-123.350298999751,VIC,Victoria Regional Transit System,Victoria
100214,Fernwood at Pandora (NB),NB_Fernwood_FS_Pandora,48.4272149955022,-123.345247999585,VIC,Victoria Regional Transit System,Victoria
100215,Skinner at Catherine (EB),EB_Skinner_FS_Catherine,48.4355109959723,-123.384409000112,VIC,Victoria Regional Transit System,Victoria
100218,Gorge Rd E at David (EB),EB_Gorge Rd E_FS_David,48.4385439959817,-123.368096000541,VIC,Victoria Regional Transit System,Victoria
100219,Skinner at Catherine (WB),WB_Skinner_FS_Catherine,48.4356539950871,-123.385338000062,VIC,Victoria Regional Transit System,Victoria
100221,Moss at Point (SB),SB_Moss_FS_Point,48.4063479953947,-123.351122000299,VIC,Victoria Regional Transit System,Victoria
100222,May at Eberts (EB),EB_May_FS_Eberts,48.4108692307932,-123.345835999842,VIC,Victoria Regional Transit System,Victoria
100223,Gorge Rd E at David (WB),WB_Gorge Rd E_NS_David,48.4387128433229,-123.368221971412,VIC,Victoria Regional Transit System,Victoria
100224,Fort at Stanley (WB),WB_Fort_FS_Stanley,48.424599995755,-123.342748999331,VIC,Victoria Regional Transit System,Victoria
100225,Wilson at Dalton (EB),EB_Wilson_NS_Dalton,48.4325259956161,-123.391202000526,VIC,Victoria Regional Transit System,Victoria
100226,Cook at Empress (SB),SB_Cook_NS_Empress,48.4346094796759,-123.352423013445,VIC,Victoria Regional Transit System,Victoria
100227,Fernwood at Grant (NB),NB_Fernwood_FS_Grant,48.4288649957447,-123.345169999886,VIC,Victoria Regional Transit System,Victoria
100228,Johnson at Stanley (NB),NB_Johnson_NS_Stanley,48.4258449952899,-123.343174000594,VIC,Victoria Regional Transit System,Victoria
100229,Wilson at Dalton (WB),WB_Wilson_FS_Dalton,48.4326639957679,-123.39120500051,VIC,Victoria Regional Transit System,Victoria
100230,Bushby at Joseph (WB),WB_Bushby_NS_Joseph,48.4083569951707,-123.347867000672,VIC,Victoria Regional Transit System,Victoria
100231,Esquimalt at Barnard (EB),EB_Esquimalt_NS_Barnard,48.4313244836953,-123.393217999365,VIC,Victoria Regional Transit System,Victoria
100232,Eberts at Bushby (SB),SB_Eberts_NS_Bushby,48.409108995827,-123.346669999661,VIC,Victoria Regional Transit System,Victoria
100233,Quadra at Kings (SB),SB_Quadra_NS_Kings,48.4376690755966,-123.358799534703,VIC,Victoria Regional Transit System,Victoria
100234,Quadra at Kings (NB),NB_Quadra_FS_Kings,48.4379143338703,-123.358650514406,VIC,Victoria Regional Transit System,Victoria
100235,Cook at Bay (NB),NB_Cook_FS_Bay,48.435212786083,-123.352149242023,VIC,Victoria Regional Transit System,Victoria
100236,Fairfield at Memorial (WB),WB_Fairfield_FS_Memorial,48.4123079959399,-123.343396000045,VIC,Victoria Regional Transit System,Victoria
100237,Hillside at Dowler (EB),EB_Hillside_NS_Dowler,48.4389587987578,-123.362418167303,VIC,Victoria Regional Transit System,Victoria
100238,Memorial at May (SB),SB_Memorial_NS_May,48.4115429952309,-123.343857000422,VIC,Victoria Regional Transit System,Victoria
100241,Fairfield at Memorial (EB),SB_Fairfield_NS_Memorial,48.4121181196557,-123.343453942534,VIC,Victoria Regional Transit System,Victoria
100242,Esquimalt at Dominion (WB),WB_Esquimalt_NS_Dominion,48.431709019859,-123.394020614896,VIC,Victoria Regional Transit System,Victoria
100243,Memorial at Fairfield (NB),NB_Memorial_NS_Fairfield,48.4118159951811,-123.343432000321,VIC,Victoria Regional Transit System,Victoria
100244,Richardson at Arnold (WB),WB_Richardson_FS_Arnold,48.4164859562182,-123.341299065048,VIC,Victoria Regional Transit System,Victoria
100109,Richardson at Cook (EB),EB_Richardson_FS_Cook,48.4195189955258,-123.354423999408,VIC,Victoria Regional Transit System,Victoria
100110,Dallas at Simcoe (SB),SB_Dallas_NS_Simcoe,48.4211169958862,-123.385517000637,VIC,Victoria Regional Transit System,Victoria
100111,Dallas at Niagara (SB),SB_Dallas_NS_Niagara,48.4186289953909,-123.385389000266,VIC,Victoria Regional Transit System,Victoria
100112,Cook at Rockland (SB),SB_Cook_FS_Rockland,48.4218906252338,-123.354529225888,VIC,Victoria Regional Transit System,Victoria
100113,Cook at Southgate (NB),NB_Cook_NS_Southgate,48.4161289958666,-123.355703000516,VIC,Victoria Regional Transit System,Victoria
100115,Cook at Pandora (SB),SB_Cook_FS_Pandora,48.4269703583365,-123.353376863879,VIC,Victoria Regional Transit System,Victoria
100116,Dallas at Montreal (SB),SB_Dallas_NS_Montreal,48.4166309954081,-123.385076000534,VIC,Victoria Regional Transit System,Victoria
100117,Cook at Oxford (SB),SB_Cook_FS_Oxford,48.4140019955575,-123.356877999871,VIC,Victoria Regional Transit System,Victoria
100118,Quadra at Mason (NB),NB_Quadra_NS_Mason,48.4278824748913,-123.35889014417,VIC,Victoria Regional Transit System,Victoria
100120,Cook at Sutlej (NB),NB_Cook_NS_Sutlej,48.4143689957246,-123.356471000482,VIC,Victoria Regional Transit System,Victoria
100121,Cook at Rockland (NB),NB_Cook_FS_Rockland,48.4223449634315,-123.354194944896,VIC,Victoria Regional Transit System,Victoria
100122,Cook at Meares (SB),SB_Cook_NS_Meares,48.4230799959543,-123.354205999472,VIC,Victoria Regional Transit System,Victoria
100125,Johnson at Vancouver (EB),EB_Johnson_FS_Vancouver,48.4261750584111,-123.355944839765,VIC,Victoria Regional Transit System,Victoria
100126,Fort at Cook (EB),EB_Fort_FS_Cook,48.4232425246766,-123.353458429093,VIC,Victoria Regional Transit System,Victoria
100128,Cook at Fort (NB),NB_Cook_FS_Fort,48.4236238200009,-123.353889378124,VIC,Victoria Regional Transit System,Victoria
100129,Pandora at Quadra (WB),WB_Pandora_NS_Quadra,48.4275232197514,-123.358311366875,VIC,Victoria Regional Transit System,Victoria
100130,May at Cook (WB),WB_May_NS_Cook,48.412275969257,-123.357076999361,VIC,Victoria Regional Transit System,Victoria
100131,May at Cook (EB),EB_May_FS_Cook,48.4121189953894,-123.356937000115,VIC,Victoria Regional Transit System,Victoria
100132,Douglas at Discovery (SB),SB_Douglas_NS_Discovery,48.4321587470216,-123.364638567205,VIC,Victoria Regional Transit System,Victoria
100133,Quadra at Balmoral (NB),NB_Quadra_FS_Balmoral,48.429233075883,-123.358707256128,VIC,Victoria Regional Transit System,Victoria
100134,Esquimalt at Sitkum (WB),WB_Esquimalt_FS_Sitkum,48.4301219951428,-123.380464999814,VIC,Victoria Regional Transit System,Victoria
100135,Quadra at North Park (SB),SB_Quadra_FS_North Park,48.4296213361953,-123.358871219561,VIC,Victoria Regional Transit System,Victoria
100137,Fairfield at Linden (WB),WB_Fairfield_FS_Linden,48.4170831616971,-123.352476433701,VIC,Victoria Regional Transit System,Victoria
100138,Richardson at Linden (WB),WB_Richardson_FS_Linden,48.4193519958098,-123.351836999762,VIC,Victoria Regional Transit System,Victoria
100139,Richardson at Linden (EB),EB_Richardson_FS_Linden,48.4191689953562,-123.351168999659,VIC,Victoria Regional Transit System,Victoria
100141,Fairfield at Linden (EB),EB_Fairfield_FS_Linden,48.4167491757113,-123.351880137584,VIC,Victoria Regional Transit System,Victoria
100143,Johnson at Cook (EB),EB_Johnson_FS_Cook,48.4257987702228,-123.352745657964,VIC,Victoria Regional Transit System,Victoria
100144,Cook at Johnson (NB),NB_Cook_FS_Johnson,48.4262122594078,-123.353252849836,VIC,Victoria Regional Transit System,Victoria
100145,Quadra at Caledonia (SB),SB_Quadra_FS_Caledonia,48.4305052643885,-123.358716861883,VIC,Victoria Regional Transit System,Victoria
100146,Douglas at Discovery (NB),NB_Douglas_FS_Discovery,48.4321679027719,-123.364501831265,VIC,Victoria Regional Transit System,Victoria
100147,Quadra at Caledonia (NB),NB_Quadra_NS_Caledonia,48.431024134481,-123.35851128922,VIC,Victoria Regional Transit System,Victoria
100148,Esquimalt at Catherine (WB),WB_Esquimalt_FS_Catherine,48.4304649954167,-123.385237000075,VIC,Victoria Regional Transit System,Victoria
100149,Tyee at Wilson (SB),SB_Tyee_FS_Wilson,48.4310273656906,-123.378706692529,VIC,Victoria Regional Transit System,Victoria
100151,Wilson 100 block (WB),WB_100_block_Wilson,48.4314719957973,-123.379285000294,VIC,Victoria Regional Transit System,Victoria
100152,Bay at Wilson (WB),WB_Bay_FS_Wilson,48.4326016704873,-123.382731814935,VIC,Victoria Regional Transit System,Victoria
100153,Fort at Linden (EB),EB_Fort_FS_Linden,48.4229329957658,-123.350239000653,VIC,Victoria Regional Transit System,Victoria
100155,May at Linden (WB),WB_May_FS_Linden,48.4119039695126,-123.35371400068,VIC,Victoria Regional Transit System,Victoria
100156,May at Linden (EB),EB_May_NS_Linden,48.4117760209486,-123.353983000268,VIC,Victoria Regional Transit System,Victoria
100159,Johnson at Chambers (EB),EB_Johnson_FS_Chambers,48.4255849955712,-123.350223000177,VIC,Victoria Regional Transit System,Victoria
100160,Cook at Balmoral (NB),NB_Cook_NS_Balmoral,48.4287220509646,-123.352991133858,VIC,Victoria Regional Transit System,Victoria
100161,Esquimalt at Catherine (EB),EB_Esquimalt_FS_Catherine,48.4303159959164,-123.383093000129,VIC,Victoria Regional Transit System,Victoria
100162,Fairfield at Cornwall (EB),EB_Fairfield_FS_Cornwall,48.4155489954404,-123.349371000239,VIC,Victoria Regional Transit System,Victoria
100163,May at Wellington (EB),EB_May_FS_Wellington,48.4114546766616,-123.351555127885,VIC,Victoria Regional Transit System,Victoria
100165,Yates at Ormond (WB),WB_Yates_NS_Ormond,48.424676995885,-123.348878999356,VIC,Victoria Regional Transit System,Victoria
100166,Quadra at Princess (SB),SB_Quadra_FS_Princess,48.4328196992548,-123.358412934257,VIC,Victoria Regional Transit System,Victoria
100167,Richardson at Moss (EB),EB_Richardson_FS_Moss,48.4187709957428,-123.347562000383,VIC,Victoria Regional Transit System,Victoria
100168,Linden at Faithful (NB),NB_Linden_NS_Faithful,48.4097539952109,-123.35379800021,VIC,Victoria Regional Transit System,Victoria
100169,Pandora at Chambers (WB),WB_Pandora_NS_Chambers,48.4271359955476,-123.350051999632,VIC,Victoria Regional Transit System,Victoria
100170,Bay at Turner (EB),EB_Bay_NS_Turner,48.4348359953748,-123.375397000066,VIC,Victoria Regional Transit System,Victoria
100171,Quadra at Princess (NB),NB_Quadra_FS_Princess,48.4333780686374,-123.35821005445,VIC,Victoria Regional Transit System,Victoria
100172,Cook at Caledonia (SB),SB_Cook_FS_Caledonia,48.4302259956743,-123.352993000666,VIC,Victoria Regional Transit System,Victoria
100173,Wilson at Bay (EB),EB_Wilson_NS_Bay,48.4328429710734,-123.382704414173,VIC,Victoria Regional Transit System,Victoria
100174,Richardson at Robleda (WB),WB_Richardson_FS_Robleda,48.4188619951794,-123.347114000485,VIC,Victoria Regional Transit System,Victoria
100175,Bay at Turner (WB),WB_Bay_FS_Turner,48.43506399568,-123.374881000651,VIC,Victoria Regional Transit System,Victoria
100176,Wilson at Alston (WB),WB_Wilson_NS_Alston,48.4328987640987,-123.382749626852,VIC,Victoria Regional Transit System,Victoria
100177,Douglas at Bay (SB),SB_Douglas_NS_Bay,48.4352872905924,-123.36532972204,VIC,Victoria Regional Transit System,Victoria
100178,Douglas at Field (NB),NB_Douglas_NS_Field,48.4347400661123,-123.364782835791,VIC,Victoria Regional Transit System,Victoria
100179,Cook at Caledonia (NB),NB_Cook_FS_Caledonia,48.4306621400224,-123.352730640181,VIC,Victoria Regional Transit System,Victoria
100180,Bay at Rock Bay (EB),EB_Bay_NS_Rock Bay,48.4358758310398,-123.36934451289,VIC,Victoria Regional Transit System,Victoria
100013,Menzies at Michigan (NB),NB_Menzies_FS_Michigan,48.4171679957316,-123.372808000388,VIC,Victoria Regional Transit System,Victoria
100016,Sooke at Townsend (EB),EB_Sooke_FS_Townsend,48.3783699951146,-123.722044999691,VIC,Victoria Regional Transit System,Sooke
100017,Burdett at Douglas (EB),EB_Burdett_FS_Douglas,48.4220499955301,-123.365463,VIC,Victoria Regional Transit System,Victoria
100018,Sooke at 5220 Blk (EB),EB_Sooke Rd_AT_5220 Blk,48.3890279955025,-123.642836999826,VIC,Victoria Regional Transit System,Sooke
100019,Douglas at Courtney (SB),SB_Douglas_FS_Courtney,48.4227263880499,-123.36592815151,VIC,Victoria Regional Transit System,Victoria
100021,Superior at Oswego (EB),EB_Superior_FS_Oswego,48.4193919955742,-123.376034000576,VIC,Victoria Regional Transit System,Victoria
100022,Menzies at Michigan (SB),SB_Menzies_FS_Michigan,48.4166049954219,-123.373333000423,VIC,Victoria Regional Transit System,Victoria
100024,Blanshard Terminus Bay B,Blanshard_Terminus_Bay_B,48.4212775435393,-123.363479361805,VIC,Victoria Regional Transit System,Victoria
100025,Blanshard Terminus Bay A ,Blanshard_Terminus_Bay_A,48.4218859955301,-123.364085,VIC,Victoria Regional Transit System,Victoria
100026,Government at Broughton (NB),NB_Government_FS_Broughton,48.4240626315834,-123.36798835293,VIC,Victoria Regional Transit System,Victoria
100029,Legislature Terminus Bay C,Legislature_Terminus_Bay_C,48.4189679957736,-123.368940999348,VIC,Victoria Regional Transit System,Victoria
100030,Oswego at Michigan (NB),NB_Oswego_NS_Michigan,48.4187389950948,-123.377113000223,VIC,Victoria Regional Transit System,Victoria
100031,Menzies at Simcoe (NB),NB_Menzies_FS_Simcoe,48.4155509951845,-123.373693999587,VIC,Victoria Regional Transit System,Victoria
100032,Douglas at Fort (NB),NB_Douglas_NS_Fort,48.4243724929364,-123.365326343611,VIC,Victoria Regional Transit System,Victoria
100033,Fort at Douglas (EB),EB_Fort_FS_Douglas,48.4243619134649,-123.364509351253,VIC,Victoria Regional Transit System,Victoria
100034,Douglas at Fort (SB),SB_Douglas_NS_Fort,48.4249552175753,-123.365312544571,VIC,Victoria Regional Transit System,Victoria
100035,Fairfield at Quadra (WB),WB_Fairfield_FS_Quadra,48.4202059950912,-123.360740000166,VIC,Victoria Regional Transit System,Victoria
100036,Menzies at Simcoe (SB),SB_Menzies_FS_Simcoe,48.4149609958935,-123.374470999953,VIC,Victoria Regional Transit System,Victoria
100037,Douglas at Avalon (NB),NB_Douglas_FS_Avalon,48.4148689958624,-123.366291999497,VIC,Victoria Regional Transit System,Victoria
